Gene,Stable_ID,Band,GCpercent,Start,End,Strand,Chromosome
HERC2,ENSG00000128731,q13.1,43.75,28111040,28322179,-1.0,15
HERC3,ENSG00000138641,q22.1,39.04,88592434,88708541,1.0,4
HERC4,ENSG00000148634,q21.3,38.0,67921899,68075348,-1.0,10
HERC5,ENSG00000138646,q22.1,39.4,88457119,88506163,1.0,4
HERC6,ENSG00000138642,q22.1,39.67,88378739,88443097,1.0,4
HERPUD2,ENSG00000122557,p14.2,38.32,35632659,35695571,-1.0,7
HES1,ENSG00000114315,q29,53.35,194136148,194138732,1.0,3
HES2,ENSG00000069812,p36.31,57.51,6412418,6424670,-1.0,1
HES3,ENSG00000173673,p36.31,65.79,6244179,6245578,1.0,1
HES4,ENSG00000188290,p36.33,74.32,998962,1000172,-1.0,1
HES5,ENSG00000197921,p36.32,68.47,2528745,2530263,-1.0,1
HES6,ENSG00000144485,q37.3,70.08,238238267,238240662,-1.0,2
HES7,ENSG00000179111,p13.1,63.33,8120592,8124106,-1.0,17
HESX1,ENSG00000163666,p14.3,41.19,57197838,57227606,-1.0,3
HEY1,ENSG00000164683,q21.13,45.23,79762371,79767857,-1.0,8
HEY2,ENSG00000135547,q22.31,43.64,125747664,125761269,1.0,6
HEYL,ENSG00000163909,p34.2,51.58,39623435,39639643,-1.0,1
HFE,ENSG00000010704,p22.2,44.85,26087281,26098343,1.0,6
HFM1,ENSG00000162669,p22.2,37.16,91260766,91404856,-1.0,1
HGD,ENSG00000113924,q13.33,41.25,120628172,120682269,-1.0,3
HGFAC,ENSG00000109758,p16.3,67.43,3441968,3449486,1.0,4
HGH1,ENSG00000235173,q24.3,64.55,144137774,144140851,1.0,8
HGSNAT,ENSG00000165102,p11.21,44.1,43140464,43202855,1.0,8
HHAT,ENSG00000054392,q32.2,42.26,210328252,210676296,1.0,1
HHATL,ENSG00000010282,p22.1,56.48,42692663,42702824,-1.0,3
HHIP,ENSG00000164161,q31.21,36.03,144646156,144745271,1.0,4
HHIPL1,ENSG00000182218,q32.2,54.85,99645110,99680569,1.0,14
HHIPL2,ENSG00000143512,q41,43.76,222522258,222548104,-1.0,1
HHLA2,ENSG00000114455,q13.13,39.01,108296490,108378285,1.0,3
HIBADH,ENSG00000106049,p15.2,36.85,27525442,27662883,-1.0,7
HIC1,ENSG00000177374,p13.3,65.48,2054154,2063241,1.0,17
HIC2,ENSG00000169635,q11.21,56.17,21417371,21451463,1.0,22
HID1,ENSG00000167861,q25.1,58.03,74950742,74973166,-1.0,17
HIF1A,ENSG00000100644,q23.2,37.25,61695513,61748259,1.0,14
HIF1AN,ENSG00000166135,q24.31,45.24,100529072,100559998,1.0,10
HIF3A,ENSG00000124440,q13.32,50.2,46297046,46343433,1.0,19
HIGD1A,ENSG00000181061,p22.1,42.66,42784298,42804531,-1.0,3
HIGD1C,ENSG00000214511,q13.12,42.91,50953922,50970506,1.0,12
HILPDA,ENSG00000135245,q32.1,51.52,128455849,128458418,1.0,7
HINFP,ENSG00000172273,q23.3,47.99,119121580,119136059,1.0,11
HINT3,ENSG00000111911,q22.32,38.09,125956770,125980244,1.0,6
HIP1,ENSG00000127946,q11.23,48.34,75533298,75738962,-1.0,7
HIP1R,ENSG00000130787,q24.31,59.16,122834453,122862961,1.0,12
HIPK3,ENSG00000110422,p13,38.83,33256672,33357023,1.0,11
HIPK4,ENSG00000160396,q13.2,53.95,40379271,40390181,-1.0,19
HIRA,ENSG00000100084,q11.21,46.11,19330698,19447450,-1.0,22
HIVEP1,ENSG00000095951,p24.1,39.37,12008762,12164999,1.0,6
HIVEP2,ENSG00000010818,q24.2,38.72,142751469,142956698,-1.0,6
HIVEP3,ENSG00000127124,p34.2,46.45,41506365,42035925,-1.0,1
HJURP,ENSG00000123485,q37.1,48.25,233833416,233854566,-1.0,2
HJV,ENSG00000168509,q21.1,44.51,146017468,146036746,-1.0,1
HKDC1,ENSG00000156510,q22.1,47.95,69220332,69267552,1.0,10
HLA-B,ENSG00000234745,p21.33,42.89,31269491,31357188,-1.0,6
HLA-C,ENSG00000204525,p21.33,59.28,31268749,31272130,-1.0,6
HLA-DMA,ENSG00000204257,p21.32,43.69,32948613,32969094,-1.0,6
HLA-DMB,ENSG00000242574,p21.32,45.12,32934629,32941028,-1.0,6
HLA-DOA,ENSG00000204252,p21.32,52.57,33004182,33009591,-1.0,6
HLA-DPA1,ENSG00000231389,p21.32,42.77,33064569,33080775,-1.0,6
HLA-DPB1,ENSG00000223865,p21.32,47.34,33075990,33089696,1.0,6
HLA-DQA1,ENSG00000196735,p21.32,40.06,32628179,32647062,1.0,6
HLA-DQA2,ENSG00000237541,p21.32,43.1,32741391,32747198,1.0,6
HLA-DQB1,ENSG00000179344,p21.32,45.39,32659467,32668383,-1.0,6
HLA-DQB2,ENSG00000232629,p21.32,47.37,32756098,32763532,-1.0,6
HLA-DRA,ENSG00000204287,p21.32,42.91,32439878,32445046,1.0,6
HLA-DRB1,ENSG00000196126,p21.32,44.36,32578769,32589848,-1.0,6
HLCS,ENSG00000159267,q22.13,44.35,36750888,36990236,-1.0,21
HLF,ENSG00000108924,q22,43.3,55264960,55325187,1.0,17
HLTF,ENSG00000071794,q24,35.95,149030127,149086554,-1.0,3
HLX,ENSG00000136630,q41,54.52,220879431,220885059,1.0,1
HM13,ENSG00000101294,q11.21,49.85,31514410,31577923,1.0,20
HMBOX1,ENSG00000147421,p21.1,37.72,28890395,29064764,1.0,8
HMBS,ENSG00000256269,q23.3,50.91,119084866,119093549,1.0,11
HMCES,ENSG00000183624,q21.3,44.53,129278828,129306186,1.0,3
HMG20A,ENSG00000140382,q24.3,38.22,77420412,77485607,1.0,15
HMGA1,ENSG00000137309,p21.31,57.83,34236873,34246231,1.0,6
HMGA2,ENSG00000149948,q14.3,39.25,65824131,65966295,1.0,12
HMGB1,ENSG00000189403,q12.3,41.99,30456704,30617597,-1.0,13
HMGB2,ENSG00000164104,q34.1,45.5,173331376,173334432,-1.0,4
HMGB4,ENSG00000176256,p35.1,45.45,33860475,33864791,1.0,1
HMGCL,ENSG00000117305,p36.11,46.84,23801885,23838620,-1.0,1
HMGCS1,ENSG00000112972,p12,38.76,43287470,43313512,-1.0,5
HMGN1,ENSG00000205581,q22.2,42.26,39342315,39349647,-1.0,21
HMGN2,ENSG00000198830,p36.11,47.23,26472440,26476642,1.0,1
HMGN4,ENSG00000182952,p22.2,41.64,26538366,26546933,1.0,6
HMGN5,ENSG00000198157,q21.1,36.42,81113699,81201913,-1.0,X
HMGXB4,ENSG00000100281,q12.3,41.49,35257452,35295807,1.0,22
HMHB1,ENSG00000158497,q31.3,40.02,143812161,143820719,1.0,5
HMMR,ENSG00000072571,q34,36.97,163460203,163491941,1.0,5
HMOX1,ENSG00000100292,q12.3,51.12,35380361,35394207,1.0,22
HMOX2,ENSG00000103415,p13.3,47.62,4474690,4510347,1.0,16
HMSD,ENSG00000221887,q22.1,41.51,63949301,63981774,1.0,18
HMX1,ENSG00000215612,p16.1,59.37,8846076,8871839,-1.0,4
HNF1A,ENSG00000135100,q24.31,52.2,120978543,121002512,1.0,12
HNF4A,ENSG00000101076,q13.12,48.21,44355700,44434596,1.0,20
HNF4G,ENSG00000164749,q21.13,35.5,75407914,75566834,1.0,8
HNRNPA1L2,ENSG00000139675,q14.3,45.04,52642425,52643796,1.0,13
HNRNPA2B1,ENSG00000122566,p15.2,41.73,26173057,26201529,-1.0,7
HNRNPA3,ENSG00000170144,q31.2,40.0,177212563,177223958,1.0,2
HNRNPAB,ENSG00000197451,q35.3,53.61,178204533,178211163,1.0,5
HNRNPC,ENSG00000092199,q11.2,39.78,21209136,21269494,-1.0,14
HNRNPCL1,ENSG00000179172,p36.21,46.06,12847377,12848720,-1.0,1
HNRNPD,ENSG00000138668,q21.22,38.75,82352498,82374503,-1.0,4
HNRNPDL,ENSG00000152795,q21.22,42.24,82422564,82430408,-1.0,4
HNRNPF,ENSG00000169813,q11.21,47.66,43385617,43409166,-1.0,10
HNRNPH1,ENSG00000169045,q35.3,45.97,179614178,179634784,-1.0,5
HNRNPH2,ENSG00000126945,q22.1,39.65,101408222,101414133,1.0,X
HNRNPH3,ENSG00000096746,q21.3,39.82,68331174,68343191,1.0,10
HNRNPK,ENSG00000165119,q21.32,39.12,83968083,83980616,-1.0,9
HNRNPL,ENSG00000104824,q13.2,53.73,38836388,38852347,-1.0,19
HNRNPLL,ENSG00000143889,p22.1,37.07,38561969,38603586,-1.0,2
HNRNPM,ENSG00000099783,p13.2,46.68,8444767,8489114,1.0,19
HNRNPR,ENSG00000125944,p36.12,38.85,23303771,23344336,-1.0,1
HNRNPU,ENSG00000153187,q44,38.67,244840638,244864560,-1.0,1
HNRNPUL2,ENSG00000214753,q12.3,46.25,62712630,62727457,-1.0,11
HOGA1,ENSG00000241935,q24.2,48.67,97584323,97612802,1.0,10
HOMER1,ENSG00000152413,q14.1,37.2,79372636,79514134,-1.0,5
HOMEZ,ENSG00000215271,q11.2,45.43,23272422,23299447,-1.0,14
HOOK1,ENSG00000134709,p32.1,34.38,59814786,59876322,1.0,1
HOOK2,ENSG00000095066,p13.13,53.64,12763003,12872740,-1.0,19
HOOK3,ENSG00000168172,p11.21,40.46,42896946,43030535,1.0,8
HOPX,ENSG00000171476,q12,42.94,56647988,56681899,-1.0,4
HORMAD1,ENSG00000143452,q21.3,36.72,150698060,150720895,-1.0,1
HORMAD2,ENSG00000176635,q12.2,37.57,30080464,30177075,1.0,22
HOXA1,ENSG00000105991,p15.2,46.78,27092993,27096000,-1.0,7
HOXA2,ENSG00000105996,p15.2,50.02,27100354,27102686,-1.0,7
HOXA3,ENSG00000105997,p15.2,50.31,27106184,27152581,-1.0,7
HOXA4,ENSG00000197576,p15.2,56.95,27128507,27130780,-1.0,7
HOXA5,ENSG00000106004,p15.2,53.38,27141052,27143681,-1.0,7
HOXA6,ENSG00000106006,p15.2,53.82,27145396,27150603,-1.0,7
HOXA7,ENSG00000122592,p15.2,56.62,27153716,27157936,-1.0,7
HOXA9,ENSG00000078399,p15.2,55.25,27162438,27175180,-1.0,7
HOXA10,ENSG00000253293,p15.2,53.6,27170592,27180261,-1.0,7
HOXA11,ENSG00000005073,p15.2,54.37,27181157,27185232,-1.0,7
HOXA13,ENSG00000106031,p15.2,45.35,27193503,27200091,-1.0,7
HOXB1,ENSG00000120094,q21.32,58.49,48528526,48531011,-1.0,17
HOXB2,ENSG00000173917,q21.32,56.71,48540894,48544989,-1.0,17
HOXB3,ENSG00000120093,q21.32,52.52,48548870,48604912,-1.0,17
HOXB4,ENSG00000182742,q21.32,56.5,48575507,48578350,-1.0,17
HOXB5,ENSG00000120075,q21.32,54.27,48591257,48593961,-1.0,17
HOXB6,ENSG00000108511,q21.32,54.06,48595751,48604992,-1.0,17
HOXB7,ENSG00000260027,q21.32,54.13,48607232,48633572,-1.0,17
HOXB8,ENSG00000120068,q21.32,57.84,48611377,48615292,-1.0,17
HOXB9,ENSG00000170689,q21.32,55.85,48621156,48626358,-1.0,17
HOXC4,ENSG00000198353,q13.13,51.68,54016931,54056030,1.0,12
HOXC5,ENSG00000172789,q13.13,58.82,54032853,54035358,1.0,12
HOXC6,ENSG00000197757,q13.13,53.61,53990624,54030823,1.0,12
HOXC8,ENSG00000037965,q13.13,51.76,54008985,54012769,1.0,12
HOXC9,ENSG00000180806,q13.13,56.89,53994895,54003337,1.0,12
HOXC10,ENSG00000180818,q13.13,52.92,53985065,53990279,1.0,12
HOXC11,ENSG00000123388,q13.13,55.98,53973126,53977643,1.0,12
HOXC12,ENSG00000123407,q13.13,58.16,53954903,53958956,1.0,12
HOXC13,ENSG00000123364,q13.13,48.94,53938831,53946544,1.0,12
HOXD1,ENSG00000128645,q31.1,56.07,176188668,176190907,1.0,2
HOXD3,ENSG00000128652,q31.1,51.11,176136612,176173102,1.0,2
HOXD4,ENSG00000170166,q31.1,61.36,176151550,176153226,1.0,2
HOXD8,ENSG00000175879,q31.1,52.17,176129694,176132695,1.0,2
HOXD9,ENSG00000128709,q31.1,60.16,176122719,176124937,1.0,2
HOXD10,ENSG00000128710,q31.1,49.31,176108790,176119937,1.0,2
HOXD11,ENSG00000128713,q31.1,61.6,176104216,176109754,1.0,2
HOXD12,ENSG00000170178,q31.1,56.44,176099795,176102489,1.0,2
HOXD13,ENSG00000128714,q31.1,49.88,176092721,176095944,1.0,2
HP1BP3,ENSG00000127483,p36.12,40.94,20740266,20787323,-1.0,1
HPCA,ENSG00000121905,p35.1,57.12,32885994,32898441,1.0,1
HPCAL1,ENSG00000115756,p25.1,52.12,10302889,10427617,1.0,2
HPCAL4,ENSG00000116983,p34.2,52.5,39678648,39691485,-1.0,1
HPD,ENSG00000158104,q24.31,51.4,121839527,121863596,-1.0,12
HPDL,ENSG00000186603,p34.1,60.84,45326895,45328679,1.0,1
HPGD,ENSG00000164120,q34.1,36.73,174490175,174523154,-1.0,4
HPGDS,ENSG00000163106,q22.3,38.55,94298535,94342876,-1.0,4
HPN,ENSG00000105707,q13.11,52.41,35040506,35066571,1.0,19
HPS1,ENSG00000107521,q24.2,49.72,98416198,98446947,-1.0,10
HPS3,ENSG00000163755,q24,38.65,149129638,149173732,1.0,3
HPS4,ENSG00000100099,q12.1,46.81,26443423,26483837,-1.0,22
HPS5,ENSG00000110756,p15.1,39.75,18278668,18322198,-1.0,11
HPS6,ENSG00000166189,q24.32,64.21,102065349,102068036,1.0,10
HPSE,ENSG00000173083,q21.23,41.22,83292461,83335153,-1.0,4
HPSE2,ENSG00000172987,q24.2,38.42,98457077,99235862,-1.0,10
HR,ENSG00000168453,p21.3,61.32,22114419,22133384,-1.0,8
HRAS,ENSG00000174775,p15.5,69.01,532242,537287,-1.0,11
HRC,ENSG00000130528,q13.33,57.8,49151198,49155396,-1.0,19
HRCT1,ENSG00000196196,p13.3,61.39,35906202,35907136,1.0,9
HRG,ENSG00000113905,q27.3,43.63,186660216,186678234,1.0,3
HRH3,ENSG00000101180,q13.33,66.1,62214960,62220278,-1.0,20
HRH4,ENSG00000134489,q11.2,42.42,24460637,24479961,1.0,18
HRK,ENSG00000135116,q24.22,49.0,116856144,116881441,-1.0,12
HRNR,ENSG00000197915,q21.3,50.89,152212076,152224193,-1.0,1
HS1BP3,ENSG00000118960,p24.1,52.47,20560448,20651130,-1.0,2
HS2ST1,ENSG00000153936,p22.3,36.82,86914635,87109982,1.0,1
HS3ST1,ENSG00000002587,p15.33,43.92,11393150,11429564,-1.0,4
HS3ST2,ENSG00000122254,p12.2,43.5,22814162,22916338,1.0,16
HS3ST3A1,ENSG00000153976,p12,40.84,13494032,13601929,-1.0,17
HS3ST3B1,ENSG00000125430,p12,46.0,14301081,14349404,1.0,17
HS3ST4,ENSG00000182601,p12.1,42.13,25691959,26137685,1.0,16
HS3ST6,ENSG00000162040,p13.3,64.05,1911475,1918415,-1.0,16
HS6ST1,ENSG00000136720,q14.3,53.2,128236716,128318868,-1.0,2
HSBP1L1,ENSG00000226742,q23,50.46,79964582,79970822,1.0,18
HSCB,ENSG00000100209,q12.1,46.7,28742039,28757515,1.0,22
HSD3B1,ENSG00000203857,p12,44.53,119507198,119515054,1.0,1
HSD3B2,ENSG00000203859,p12,43.8,119414931,119423035,1.0,1
HSD11B1,ENSG00000117594,q32.2,40.88,209686178,209734949,1.0,1
HSD11B2,ENSG00000176387,q22.1,59.84,67430652,67437553,1.0,16
HSD17B3,ENSG00000130948,q22.32,43.26,96235306,96302176,-1.0,9
HSD17B6,ENSG00000025423,q13.3,44.92,56752161,56787790,1.0,12
HSD17B8,ENSG00000204228,p21.32,56.55,33204655,33206831,1.0,6
HSD17B10,ENSG00000072506,p11.22,51.98,53431258,53434370,-1.0,X
HSD17B11,ENSG00000198189,q22.1,39.84,87336515,87391188,-1.0,4
HSD17B12,ENSG00000149084,p11.2,38.14,43680680,43856617,1.0,11
HSD17B13,ENSG00000170509,q22.1,39.19,87303789,87322886,-1.0,4
HSD17B14,ENSG00000087076,q13.33,51.4,48813018,48836510,-1.0,19
HSDL2,ENSG00000119471,q32,40.76,112380080,112472405,1.0,9
HSF1,ENSG00000185122,q24.3,56.87,144291591,144314720,1.0,8
HSF5,ENSG00000176160,q22,40.11,58420167,58488408,-1.0,17
HSP90AA1,ENSG00000080824,q32.31,47.25,102080742,102139699,-1.0,14
HSP90B1,ENSG00000166598,q23.3,39.78,103930107,103953645,1.0,12
HSPA1A,ENSG00000204389,p21.33,59.78,31815543,31817946,1.0,6
HSPA1B,ENSG00000204388,p21.33,58.76,31827738,31830254,1.0,6
HSPA1L,ENSG00000204390,p21.33,49.27,31809619,31815283,-1.0,6
HSPA4L,ENSG00000164070,q28.1,35.4,127781821,127840733,1.0,4
HSPA5,ENSG00000044574,q33.3,44.05,125234853,125241343,-1.0,9
HSPA6,ENSG00000173110,q23.3,58.64,161524540,161526894,1.0,1
HSPA8,ENSG00000109971,q24.1,49.25,123057489,123063230,-1.0,11
HSPA9,ENSG00000113013,q31.2,42.45,138553756,138575416,-1.0,5
HSPA12A,ENSG00000165868,q25.3,47.79,116671192,116850251,-1.0,10
HSPA12B,ENSG00000132622,p13,56.27,3732685,3753111,1.0,20
HSPA13,ENSG00000155304,q11.2,36.7,14371115,14383484,-1.0,21
HSPB1,ENSG00000106211,q11.23,63.65,76302673,76304295,1.0,7
HSPB2,ENSG00000170276,q23.1,61.03,111912734,111914093,1.0,11
HSPB6,ENSG00000004776,q13.12,62.52,35754566,35758079,-1.0,19
HSPB7,ENSG00000173641,p36.13,61.04,16014028,16019594,-1.0,1
HSPB8,ENSG00000152137,q24.23,45.87,119178931,119221131,1.0,12
HSPB11,ENSG00000081870,p32.3,40.17,53916574,53945929,-1.0,1
HSPBAP1,ENSG00000169087,q21.1,39.98,122739999,122793831,-1.0,3
HSPD1,ENSG00000144381,q33.1,42.79,197486584,197516737,-1.0,2
HSPE1,ENSG00000115541,q33.1,43.96,197500140,197503449,1.0,2
HSPG2,ENSG00000142798,p36.12,56.09,21822244,21937310,-1.0,1
HSPH1,ENSG00000120694,q12.3,36.81,31134973,31162388,-1.0,13
HTATIP2,ENSG00000109854,p15.1,42.5,20363685,20383783,1.0,11
HTN1,ENSG00000126550,q13.3,32.73,70050438,70058848,1.0,4
HTN3,ENSG00000205649,q13.3,32.35,70028413,70036538,1.0,4
HTR1D,ENSG00000179546,p36.12,48.75,23191895,23194729,-1.0,1
HTR1E,ENSG00000168830,q14.3,38.43,86937528,87016679,1.0,6
HTR1F,ENSG00000179097,p11.1,33.82,87990696,87993835,1.0,3
HTR2B,ENSG00000135914,q37.1,34.88,231108230,231125042,-1.0,2
HTR3A,ENSG00000166736,q23.2,50.68,113974881,113990313,1.0,11
HTR3B,ENSG00000149305,q23.2,42.73,113904677,113949078,1.0,11
HTR4,ENSG00000164270,q32,38.87,148451032,148677235,-1.0,5
HTR5A,ENSG00000157219,q36.2,41.84,155070324,155087392,1.0,7
HTR6,ENSG00000158748,p36.13,53.91,19664875,19680966,1.0,1
HTR7,ENSG00000148680,q23.31,40.72,90740823,90858039,-1.0,10
HTRA1,ENSG00000166033,q26.13,49.66,122458551,122514907,1.0,10
HTRA2,ENSG00000115317,p13.1,54.73,74529377,74533348,1.0,2
HTRA3,ENSG00000170801,p16.1,56.08,8269754,8307098,1.0,4
HTRA4,ENSG00000169495,p11.22,45.86,38974228,38988663,1.0,8
HTT,ENSG00000197386,p16.3,45.83,3041422,3243960,1.0,4
HUWE1,ENSG00000086758,p11.22,41.2,53532096,53686728,-1.0,X
HVCN1,ENSG00000122986,q24.11,47.77,110627841,110704950,-1.0,12
HYAL1,ENSG00000114378,p21.31,53.3,50299890,50312381,-1.0,3
HYAL2,ENSG00000068001,p21.31,60.99,50317790,50322782,-1.0,3
HYAL3,ENSG00000186792,p21.31,58.81,50292831,50299405,-1.0,3
HYDIN,ENSG00000157423,q22.2,41.1,70802084,71230722,-1.0,16
HYI,ENSG00000178922,p34.2,59.36,43451003,43453989,-1.0,1
HYLS1,ENSG00000198331,q24.2,41.34,125883614,125900648,1.0,11
HYPK,ENSG00000242028,q15.3,49.0,43796142,43804427,1.0,15
IAPP,ENSG00000121351,p12.1,35.47,21354959,21379980,1.0,12
IARS2,ENSG00000067704,q41,39.19,220094132,220148041,1.0,1
IBSP,ENSG00000029559,q22.1,36.14,87799554,87812435,1.0,4
ICA1,ENSG00000003147,p21.3,40.3,8113184,8262687,-1.0,7
ICAM1,ENSG00000090339,p13.2,51.86,10271093,10286615,1.0,19
ICAM2,ENSG00000108622,q23.3,46.35,64002594,64020634,-1.0,17
ICAM3,ENSG00000076662,p13.2,55.88,10333776,10339661,-1.0,19
ICAM4,ENSG00000105371,p13.2,60.71,10286955,10288522,1.0,19
ICAM5,ENSG00000105376,p13.2,64.04,10289952,10296778,1.0,19
ICE1,ENSG00000164151,p15.32,38.91,5420664,5490220,1.0,5
ICMT,ENSG00000116237,p36.31,49.59,6221193,6235972,-1.0,1
ID1,ENSG00000125968,q11.21,58.56,31605283,31606515,1.0,20
ID2,ENSG00000115738,p25.1,49.24,8678845,8684461,1.0,2
ID4,ENSG00000172201,p22.3,46.71,19837370,19842197,1.0,6
IDH3B,ENSG00000101365,p13,51.38,2658395,2664219,-1.0,20
IDI2,ENSG00000148377,p15.3,46.96,1018910,1025859,-1.0,10
IDNK,ENSG00000148057,q21.32,42.77,83623049,83644130,1.0,9
IDO1,ENSG00000131203,p11.21,39.07,39902275,39928790,1.0,8
IDUA,ENSG00000127415,p16.3,65.37,986997,1004564,1.0,4
IER2,ENSG00000160888,p13.13,62.36,13150411,13154911,1.0,19
IER3,ENSG00000137331,p21.33,58.52,30743199,30744548,-1.0,6
IER5L,ENSG00000188483,q34.11,64.98,129175552,129178261,-1.0,9
IFFO1,ENSG00000010295,p13.31,54.32,6538375,6556083,-1.0,12
IFI6,ENSG00000126709,p35.3,50.01,27666064,27672198,-1.0,1
IFI16,ENSG00000163565,q23.1,38.34,158999968,159055155,1.0,1
IFI30,ENSG00000216490,p13.11,56.8,18173162,18178117,1.0,19
IFI44,ENSG00000137965,p31.1,35.31,78649796,78664078,1.0,1
IFI44L,ENSG00000137959,p31.1,34.5,78619922,78646145,1.0,1
IFIT1,ENSG00000185745,q23.31,38.55,89392546,89406487,1.0,10
IFIT1B,ENSG00000204010,q23.31,43.27,89378056,89385205,1.0,10
IFIT2,ENSG00000119922,q23.31,42.26,89283694,89309271,1.0,10
IFIT3,ENSG00000119917,q23.31,43.24,89327997,89340971,1.0,10
IFIT5,ENSG00000152778,q23.31,41.51,89414568,89420997,1.0,10
IFITM1,ENSG00000185885,p15.5,57.05,313506,315272,1.0,11
IFITM2,ENSG00000185201,p15.5,56.84,307631,315272,1.0,11
IFITM3,ENSG00000142089,p15.5,54.32,319676,327537,-1.0,11
IFITM5,ENSG00000206013,p15.5,64.88,298200,299526,-1.0,11
IFITM10,ENSG00000244242,p15.5,55.18,1732406,1750595,-1.0,11
IFNA1,ENSG00000197919,p21.3,44.53,21440439,21441316,1.0,9
IFNA2,ENSG00000188379,p21.3,39.77,21384255,21385398,-1.0,9
IFNA4,ENSG00000236637,p21.3,42.13,21186694,21187671,-1.0,9
IFNA5,ENSG00000147873,p21.3,40.32,21304326,21305312,-1.0,9
IFNA6,ENSG00000120235,p21.3,37.5,21349835,21351378,-1.0,9
IFNA7,ENSG00000214042,p21.3,44.78,21201469,21202205,-1.0,9
IFNA8,ENSG00000120242,p21.3,40.88,21409117,21410185,1.0,9
IFNA10,ENSG00000186803,p21.3,41.12,21206181,21207143,-1.0,9
IFNA14,ENSG00000228083,p21.3,39.74,21239002,21240005,-1.0,9
IFNA16,ENSG00000147885,p21.3,39.72,21216373,21217311,-1.0,9
IFNA17,ENSG00000234829,p21.3,40.31,21227243,21228222,-1.0,9
IFNA21,ENSG00000137080,p21.3,39.36,21165637,21166660,-1.0,9
IFNAR1,ENSG00000142166,q22.11,41.33,33324429,33359864,1.0,21
IFNAR2,ENSG00000159110,q22.11,44.16,33229901,33265675,1.0,21
IFNB1,ENSG00000171855,p21.3,41.72,21077104,21077942,-1.0,9
IFNE,ENSG00000184995,p21.3,35.46,21480839,21482313,-1.0,9
IFNGR1,ENSG00000027697,q23.3,38.8,137197485,137219449,-1.0,6
IFNGR2,ENSG00000159128,q22.11,44.83,33402896,33479348,1.0,21
IFNL1,ENSG00000182393,q13.2,56.64,39296407,39298673,1.0,19
IFNL2,ENSG00000183709,q13.2,58.17,39268396,39270188,1.0,19
IFNL3,ENSG00000197110,q13.2,61.19,39243553,39245129,-1.0,19
IFNLR1,ENSG00000185436,p36.11,47.38,24154168,24187959,-1.0,1
IFRD1,ENSG00000006652,q31.1,39.45,112422968,112481017,1.0,7
IFRD2,ENSG00000214706,p21.31,59.19,50287732,50292918,-1.0,3
IFT22,ENSG00000128581,q22.1,48.92,101310914,101321823,-1.0,7
IFT27,ENSG00000100360,q12.3,51.18,36758202,36776256,-1.0,22
IFT46,ENSG00000118096,q23.3,45.0,118544528,118572970,-1.0,11
IFT52,ENSG00000101052,q13.12,44.5,43590937,43647299,1.0,20
IFT57,ENSG00000114446,q13.13,35.23,108160812,108222435,-1.0,3
IFT74,ENSG00000096872,p21.2,37.56,26947039,27062930,1.0,9
IFT80,ENSG00000068885,q25.33,36.52,160256986,160399880,-1.0,3
IFT88,ENSG00000032742,q12.11,38.74,20567069,20691437,1.0,13
IFT122,ENSG00000163913,q21.3,47.56,129440036,129520507,1.0,3
IFT140,ENSG00000187535,p13.3,54.44,1510427,1612072,-1.0,16
IFT172,ENSG00000138002,p23.3,45.51,27444377,27489789,-1.0,2
IGDCC3,ENSG00000174498,q22.31,51.84,65327127,65378002,-1.0,15
IGDCC4,ENSG00000103742,q22.31,51.79,65381484,65422947,-1.0,15
IGF1,ENSG00000017427,q23.2,39.7,102395874,102481744,-1.0,12
IGF2BP1,ENSG00000159217,q21.32,47.29,48997385,49056145,1.0,17
IGF2BP3,ENSG00000136231,p15.3,41.63,23310209,23470491,-1.0,7
IGF2R,ENSG00000197081,q25.3,45.55,159969099,160113507,1.0,6
IGFALS,ENSG00000099769,p13.3,68.39,1790413,1794971,-1.0,16
IGFBP1,ENSG00000146678,p12.3,48.88,45888360,45893660,1.0,7
IGFBP2,ENSG00000115457,q35,50.33,216632828,216664436,1.0,2
IGFBP3,ENSG00000146674,p12.3,49.16,45912245,45921874,-1.0,7
IGFBP7,ENSG00000163453,q12,42.44,57030773,57110385,-1.0,4
IGFL1,ENSG00000188293,q13.32,56.39,46229742,46231243,1.0,19
IGFL2,ENSG00000204866,q13.32,40.54,46143106,46161299,1.0,19
IGFL3,ENSG00000188624,q13.32,38.92,46120067,46124688,-1.0,19
IGFLR1,ENSG00000126246,q13.12,57.9,35738801,35742453,-1.0,19
IGHMBP2,ENSG00000132740,q13.3,50.62,68903891,68940602,1.0,11
IGIP,ENSG00000182700,q31.3,35.5,140125937,140129392,1.0,5
IGLL1,ENSG00000128322,q11.23,55.0,23573125,23580302,-1.0,22
IGSF3,ENSG00000143061,p13.1,46.14,116574399,116667755,-1.0,1
IGSF5,ENSG00000183067,q22.2,42.49,39745407,39802096,1.0,21
IGSF8,ENSG00000162729,q23.2,58.9,160091340,160098943,-1.0,1
IGSF9,ENSG00000085552,q23.2,55.8,159927039,159945613,-1.0,1
IGSF9B,ENSG00000080854,q25,55.75,133896438,133956985,-1.0,11
IGSF10,ENSG00000152580,q25.1,40.08,151425384,151458709,-1.0,3
IGSF21,ENSG00000117154,p36.13,49.91,18107798,18378483,1.0,1
IGSF22,ENSG00000179057,p15.1,50.45,18704305,18726230,-1.0,11
IK,ENSG00000113141,q31.3,45.21,140647058,140662480,1.0,5
IKBIP,ENSG00000166130,q23.1,40.95,98613405,98645113,-1.0,12
